,ID,Hash Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
92154,46683,92f8668996daadd7fd241885537722f1a79319c570c86173a64b6dbe963230b7,F,24.0,167.0,62.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Super G,
92155,46683,92f8668996daadd7fd241885537722f1a79319c570c86173a64b6dbe963230b7,F,24.0,167.0,62.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
92156,46683,92f8668996daadd7fd241885537722f1a79319c570c86173a64b6dbe963230b7,F,28.0,167.0,62.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Downhill,
92157,46683,92f8668996daadd7fd241885537722f1a79319c570c86173a64b6dbe963230b7,F,28.0,167.0,62.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Super G,
92163,46685,ff5a8ea8b718b390a79881787496c7492e57eca1b9dabfc50d6d9c82a5b04d75,M,21.0,,,Germany,GER,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's Foil, Team",
92164,46686,615a6c534f7d83568b2e65d6908012993954967c890d028c94aa0e634b3581ac,M,28.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,Bronze
92171,46692,900c2463ef97483ecd5a7c9d436ad2cb98e4a016487a35e6cbdb3da27745fb3e,F,20.0,,,Germany,GER,1956 Winter,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,
92172,46692,900c2463ef97483ecd5a7c9d436ad2cb98e4a016487a35e6cbdb3da27745fb3e,F,20.0,,,Germany,GER,1956 Winter,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,
92173,46692,900c2463ef97483ecd5a7c9d436ad2cb98e4a016487a35e6cbdb3da27745fb3e,F,24.0,,,Germany,GER,1960 Winter,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,
92174,46692,900c2463ef97483ecd5a7c9d436ad2cb98e4a016487a35e6cbdb3da27745fb3e,F,24.0,,,Germany,GER,1960 Winter,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,
92196,46696,8c86291a3aa88ec2fb552eef50c5216a4174021a3348bea3a63e5a04ac0e77e6,F,30.0,168.0,56.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
92197,46696,8c86291a3aa88ec2fb552eef50c5216a4174021a3348bea3a63e5a04ac0e77e6,F,30.0,168.0,56.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 10 kilometres Pursuit,
92198,46696,8c86291a3aa88ec2fb552eef50c5216a4174021a3348bea3a63e5a04ac0e77e6,F,30.0,168.0,56.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Bronze
92199,46696,8c86291a3aa88ec2fb552eef50c5216a4174021a3348bea3a63e5a04ac0e77e6,F,30.0,168.0,56.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze
92261,46727,cacd85858139a9a78f33f4f40c310f73ba1c11b90d9638973bbcd87a86253eff,M,31.0,173.0,62.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Marathon,
92262,46728,c18eb31e703c812d6373a36a3df42e9a442195cdb3aaa752fdb0e8a30817d598,M,29.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,Bronze
92266,46731,632f36d077f300f27dc6dd943311adb6376185fbabe46c4929c45f3d72bd3467,M,30.0,180.0,73.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Men's Two Person Dinghy,
92371,46785,af7312b4a646f68f008120da07d270ec185468b7f86667e00b78336c2722598f,M,29.0,,,Germany,GER,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,
92372,46785,af7312b4a646f68f008120da07d270ec185468b7f86667e00b78336c2722598f,M,35.0,,,Germany,GER,1906 Summer,1906,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,
92373,46786,7f5bf8be51671cea0b57ed3ef5399649c1cfee744b64103c340f5ebf1e2e394c,M,28.0,180.0,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Modern Pentathlon,Modern Pentathlon Men's Individual,
92374,46786,7f5bf8be51671cea0b57ed3ef5399649c1cfee744b64103c340f5ebf1e2e394c,M,32.0,180.0,,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
92375,46786,7f5bf8be51671cea0b57ed3ef5399649c1cfee744b64103c340f5ebf1e2e394c,M,36.0,180.0,,Germany,GER,1936 Summer,1936,Summer,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
92847,47040,6cf092ff58ccc08ea4d2bdaa93400b8141cb0ee0592662580ab1b7b84ef7a1e8,M,20.0,187.0,80.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,
92848,47040,6cf092ff58ccc08ea4d2bdaa93400b8141cb0ee0592662580ab1b7b84ef7a1e8,M,24.0,187.0,80.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,
92849,47040,6cf092ff58ccc08ea4d2bdaa93400b8141cb0ee0592662580ab1b7b84ef7a1e8,M,32.0,187.0,80.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,
92852,47042,5ae408671c85b470023bf693d15f0b57f9975be63c93b26ec9b3e4f46cadfaf0,M,27.0,191.0,100.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Javelin Throw,
92853,47042,5ae408671c85b470023bf693d15f0b57f9975be63c93b26ec9b3e4f46cadfaf0,M,31.0,191.0,100.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Javelin Throw,
92864,47049,2262d0f2b7ae9a3f021841511b7fd59d68ed7492d29d51c24f43477a789dabaa,M,29.0,184.0,85.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Individual",
92865,47050,b1385e063a73919ff628a3c20cf7d323d914e73012beeb93e62817660f8bcf55,M,25.0,,,Germany,GER,1912 Summer,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
92866,47051,c367e43426789721c31fa75735398c022d90d44b14d9d943683a0a519f6d91e3,M,44.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",
92867,47051,c367e43426789721c31fa75735398c022d90d44b14d9d943683a0a519f6d91e3,M,48.0,,,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",
92871,47054,8e9216457e803fcb726628a1d0692fe47ede2e420ed00d901329d0ddda482f5d,F,16.0,170.0,58.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Figure Skating,Figure Skating Women's Singles,
92872,47055,1d07c44bfc0b58d35eb79d4af4e1bac82346dd447163b8909f633e35b9570d98,M,39.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",
92875,47057,c3badb733e5fecfc8e0606969fb460356492a26e954169393d07675f0c4b37b0,F,22.0,164.0,58.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Snowboarding,Snowboarding Women's Giant Slalom,
93112,47157,6116f653c306b75a8295a3c01a37c922c24e9e64a6a4cff1c1bf10b0e3298893,M,29.0,184.0,87.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,
93113,47157,6116f653c306b75a8295a3c01a37c922c24e9e64a6a4cff1c1bf10b0e3298893,M,31.0,184.0,87.0,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,
93114,47157,6116f653c306b75a8295a3c01a37c922c24e9e64a6a4cff1c1bf10b0e3298893,M,35.0,184.0,87.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,
93159,47177,61fdb235b8c80956f0e679a0ac9621d0866edd801b15eb09df13c1e6d2c68226,M,24.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 100 metres Freestyle,
93160,47177,61fdb235b8c80956f0e679a0ac9621d0866edd801b15eb09df13c1e6d2c68226,M,24.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
93184,47187,8cdebe064a678e6debbb93b8b529eb86cbe0ea5624ac803ab04ed333e0d81c66,F,21.0,180.0,70.0,Germany,GER,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Women's epee, Individual",
93185,47187,8cdebe064a678e6debbb93b8b529eb86cbe0ea5624ac803ab04ed333e0d81c66,F,21.0,180.0,70.0,Germany,GER,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Women's epee, Team",Silver
93186,47187,8cdebe064a678e6debbb93b8b529eb86cbe0ea5624ac803ab04ed333e0d81c66,F,25.0,180.0,70.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's epee, Individual",Gold
93187,47187,8cdebe064a678e6debbb93b8b529eb86cbe0ea5624ac803ab04ed333e0d81c66,F,29.0,180.0,70.0,Germany,GER,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's epee, Individual",Silver
93188,47187,8cdebe064a678e6debbb93b8b529eb86cbe0ea5624ac803ab04ed333e0d81c66,F,29.0,180.0,70.0,Germany,GER,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's epee, Team",
93189,47188,63a3b704ac9f6cd0cc6dc9cc4891cf9eaf8953314cd848b613dd8d4479e712c8,M,19.0,,,Germany,GER,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Welterweight,Bronze
93212,47196,a829d5e67dcd3c3822dc766dd6849a6b50e6c1f81e52f5406c1ed027cc4389de,M,26.0,196.0,87.0,Germany,GER,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,
93213,47197,65abba37375d265efb142f82781bac3ac9c7224615f62bf6c426a1cbad44249e,M,20.0,190.0,,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,
93214,47198,2e381423bb7f1eb1f1fd791e145ff86c5f3f774ad34ac6216c849c74eaccba41,F,20.0,175.0,85.0,Germany,GER,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Hammer Throw,
93215,47198,2e381423bb7f1eb1f1fd791e145ff86c5f3f774ad34ac6216c849c74eaccba41,F,24.0,175.0,85.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Hammer Throw,
93216,47198,2e381423bb7f1eb1f1fd791e145ff86c5f3f774ad34ac6216c849c74eaccba41,F,28.0,175.0,85.0,Germany,GER,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Hammer Throw,Bronze
93217,47198,2e381423bb7f1eb1f1fd791e145ff86c5f3f774ad34ac6216c849c74eaccba41,F,32.0,175.0,85.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Hammer Throw,
93223,47203,eec9d6d87fce1206d6f882cdee2626051bba574cd6cbb203e55a82a24ad39954,M,28.0,186.0,87.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,
93224,47204,39aa9e5e275b30b4ecfa0334c7d0db8c5e35736577da608a82039f5bf42bac98,M,21.0,195.0,83.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
93225,47204,39aa9e5e275b30b4ecfa0334c7d0db8c5e35736577da608a82039f5bf42bac98,M,21.0,195.0,83.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Individual Medley,
93286,47228,2cc0a39facae125ad052d118fdc683bca193f03471db3280436388970dbca798,M,26.0,185.0,80.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Skiff,Bronze
93299,47236,353da67e2aea60c4dcf1546cc15ca66976f0edd571f6f49011f0738be5170cdc,M,21.0,199.0,90.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Freestyle,
93300,47236,353da67e2aea60c4dcf1546cc15ca66976f0edd571f6f49011f0738be5170cdc,M,21.0,199.0,90.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
93303,47239,e3192abd9a9eb240bf5f06d3b66d58ec3d3585b71af51ccc2bc17172d8857954,M,24.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Team",
93304,47239,e3192abd9a9eb240bf5f06d3b66d58ec3d3585b71af51ccc2bc17172d8857954,M,32.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Foil, Individual",
93305,47239,e3192abd9a9eb240bf5f06d3b66d58ec3d3585b71af51ccc2bc17172d8857954,M,32.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Foil, Team",Bronze
93306,47239,e3192abd9a9eb240bf5f06d3b66d58ec3d3585b71af51ccc2bc17172d8857954,M,32.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Sabre, Individual",
93307,47239,e3192abd9a9eb240bf5f06d3b66d58ec3d3585b71af51ccc2bc17172d8857954,M,32.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Sabre, Team",Bronze
93321,47249,18ffac650033a55777f968c6d6782c37dfb6d38bc12f9209ffe2c37323629626,M,19.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
93331,47251,b864b4c0f48381cadbbab35ab117d4eb0c2f38b0f1323eb42311b74236e7405b,M,23.0,184.0,70.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,
